"Fuel.Type.Code","Latitude","Longitude"
"ELEC",46.047278,-118.353883
"ELEC",47.4352227,-120.3241462
"ELEC",39.417566,-77.911201
"ELEC",35.0301566,-85.3061785
"ELEC",36.513006,-87.2686669
"ELEC",36.137042,-85.4965689
"ELEC",36.024214,-87.339945
"ELEC",36.0633399,-89.3793589
"ELEC",35.9569403,-86.8090886
"ELEC",36.361028,-86.494527
"ELEC",36.3747464,-82.37205
"ELEC",36.5513649,-82.487467
"ELEC",35.920522,-84.068664
"ELEC",36.0000304,-83.9689834
"ELEC",36.29062,-86.7051
"ELEC",35.4550288,-86.0450369
"ELEC",36.36922,-88.848212
"ELEC",35.035432,-89.794415
"ELEC",35.181314,-89.8948039
"ELEC",36.18237,-83.3825109
"ELEC",35.854097,-86.394843
"ELEC",36.1107539,-86.7436289
"ELEC",36.190605,-86.793258
"ELEC",45.491816,-122.811724
"ELEC",44.055386,-121.27764
"ELEC",44.572608,-123.258425
"ELEC",44.0592136,-123.0811507
"ELEC",45.3799237,-122.6042468
"ELEC",45.508744,-122.968747
"ELEC",45.2275986,-123.1778771
"ELEC",42.331838,-122.876341
"ELEC",45.531567,-122.537169
"ELEC",44.949467,-122.999595
"ELEC",45.6149066,-121.209749
"ELEC",45.326897,-122.771015
"ELEC",34.055445,-81.128088
"ELEC",33.9971464,-81.2218337
"ELEC",35.832265,-83.9730234
"ELEC",35.2092001,-89.7917693
